Name,Address,Latitude,Longitude,Rating,Total Ratings,Place ID,Types,geometry,neighbourhood,neighbourhood_group,Popularity,Normalized Popularity
Charleston,"Charleston, Staten Island, NY 10309, USA",40.5279191,-74.2345836,,,ChIJ5z5skEi1w4kR4inDsOZ8txI,"neighborhood, political",POINT (-74.2345836 40.5279191),Pleasant Plains,Staten Island,,
Great Kills Park,"3270 Hylan Blvd, Staten Island, NY 10306, United States",40.5492367,-74.1238486,4.5,1695.0,ChIJmzRc5gtPwokRejjHRGOBspw,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.1238486 40.5492367),,,4.42459038638003,0.5686112991467139
William T Davis Wildlife Refuge,"82 Mulberry Ave, Staten Island, NY 10314, United States",40.5964598,-74.17390569999999,4.4,69.0,ChIJiZnfHXxLwokRmcdncxtOKGE,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.17390569999999 40.5964598),,,4.137415149692513,0.3305103226802694
Schmul Park,"Wild Ave., Pearson St, Melvin Ave, Staten Island, NY 10314, United States",40.5899237,-74.1877854,4.2,258.0,ChIJW95iP5xMwokRaAF2e-MKZ2w,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.1877854 40.5899237),"Chelsea, Staten Island",Staten Island,4.134334738298943,0.3279563108191228
New Springville Greenway,"2375-2357, Richmond Ave, Staten Island, NY 10314, United States",40.58930780000001,-74.16765869999999,4.8,4.0,ChIJFx1nNnxMwokR3uZlSTYDWis,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.16765869999999 40.58930780000001),,,4.097342571272859,0.2972855914628277
Wu-Tang Clan Mural,"116 Canal St, Staten Island, NY 10304, United States",40.6262964,-74.0774806,4.7,45.0,ChIJI2Dg_3ZPwokRjjsAytpCQnA,"tourist_attraction, point_of_interest, establishment",POINT (-74.0774806 40.6262964),Stapleton,Staten Island,4.154272207286472,0.3444867432093141
De Matti Park,"Tompkins Ave., Staten Island, NY 10305, United States",40.6145077,-74.07425649999999,4.6,138.0,ChIJqT3Rf6tPwokRqP8Lf2kall0,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.07425649999999 40.6145077),Rosebank,Staten Island,4.225335062521776,0.40340594326704954
Our Lady of Mount Carmel Grotto,"36 Amity St, Staten Island, NY 10305, United States",40.6122895,-74.07527069999999,4.8,21.0,ChIJu7JM_apPwokRgkwqV_7BSXc,"church, tourist_attraction, place_of_worship, point_of_interest, establishment",POINT (-74.07527069999999 40.6122895),Rosebank,Staten Island,4.126983207224128,0.3218610543212878
Stapleton Waterfront Park,"Water St, Staten Island, NY 10304, United States",40.62897150000001,-74.0729446,4.3,242.0,ChIJHZkIjLVPwokRJds7VyF7U3A,"park, point_of_interest, establishment",POINT (-74.0729446 40.62897150000001),Stapleton,Staten Island,4.1714330649219935,0.35871504857139996
Garibaldi Meucci Museum,"420 Tompkins Ave., Staten Island, NY 10305, United States",40.6152632,-74.073577,4.3,57.0,ChIJNbvLfKxPwokRNhvpjrf1dVM,"tourist_attraction, museum, point_of_interest, establishment",POINT (-74.073577 40.6152632),Rosebank,Staten Island,4.11725337701896,0.313793916989304
Sri Lankan Art & Cultural Museum NY,"61 Canal St, Staten Island, NY 10304, United States",40.6268042,-74.07538319999999,5.0,11.0,ChIJZasl57RPwokR7CO5TvjGAbs,"museum, point_of_interest, establishment",POINT (-74.07538319999999 40.6268042),Stapleton,Staten Island,4.1154560623697805,0.3123037384560737
Conference House Park,"298 Satterlee St, Staten Island, NY 10307, United States",40.5005834,-74.2512474,4.6,866.0,ChIJqVNqlb3Kw4kRhpOMG6975Mg,"park, tourist_attraction, point_of_interest, establishment",POINT (-74.2512474 40.5005834),Tottenville,Staten Island,4.4438896093840725,0.5846125529292823
Southernmost Point of New York,"Richmond County, Staten Island, United States",40.4957781,-74.24714469999999,4.8,13.0,ChIJd8fHwoLLw4kR9yjZUM_mTTA,"tourist_attraction, point_of_interest, establishment",POINT (-74.24714469999999 40.4957781),,,4.11335248737044,0.31055963521377916
